Board Game Rank;Thumbnail image;Title;Geek Rating;Avg Rating;Num Voters;Shop
13;;Twilight Struggle  (2005)    Relive the Cold War and rewrite history in an epic clash between the USA and USSR.;8.109;8.28;43839;Used Amazon: (unavailable)   [Shop]
14;;Scythe  (2016)    Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.;8.057;8.21;67444;New Amazon: 70,64 €      [Shop]
15;;Dune: Imperium  (2020)    Influence, intrigue, and combat in the universe of Dune.;8.028;8.33;19359;New Amazon: 64,90 €      [Shop]
16;;The Castles of Burgundy  (2011)    Plan, trade, and build your Burgundian estate to prosperity and prominence.;8.006;8.13;52229;Used Amazon: (unavailable)   [Shop]
17;;Nemesis  (2018)    Survive an alien-infested spaceship but beware of other players and their agendas.;7.987;8.37;19555;Used Amazon: (unavailable)   [Shop]
18;;7 Wonders Duel  (2015)    Science? Military? What will you draft to win this head-to-head version of 7 Wonders?;7.983;8.11;73187;New Amazon: 22,99 €      [Shop]
19;;Concordia  (2013)    Lead your Roman dynasty and build the greatest trading empire in the Mediterranean.;7.968;8.12;32817;List: 34,99 €   New Amazon: 33,99 €      [Shop]
20;;Brass: Lancashire  (2007)    Test your economic mettle as you build and network in the Industrial Revolution.;7.966;8.19;21417;Used Amazon: (unavailable)   [Shop]
21;;Terra Mystica  (2012)    Play fantastical factions. Expand your influence by terraforming and joining cults.;7.956;8.11;42738;List: 59,90 €   New Amazon: 47,99 €      [Shop]
22;;A Feast for Odin  (2016)    Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.;7.955;8.20;21623;New Amazon: 59,99 €      [Shop]
23;;Wingspan  (2019)    Attract a beautiful and diverse collection of birds to your wildlife reserve.;7.943;8.10;61228;New Amazon: 68,14 €      [Shop]
24;;Arkham Horror: The Card Game  (2016)    Investigate the horrors of Arkham while courting cosmic doom.;7.926;8.16;34813;New Amazon: 54,67 €      [Shop]
25;;Root  (2018)    Decide the fate of the forest as woodland factions fight for contrasting goals.;7.892;8.10;34221;New Amazon: 57,35 €      [Shop]
26;;Viticulture Essential Edition  (2015)    Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.;7.889;8.05;36962;New Amazon: 60,29 €      [Shop]
27;;Everdell  (2018)    Use resources to build a village of critters and constructions in this woodland game.;7.884;8.09;32684;New Amazon: 62,91 €   [Shop]
28;;"Clank!: Legacy – Acquisitions Incorporated  (2019)    ""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""";7.883;8.66;5684;New Amazon: 25,61 €      [Shop]
29;;Orléans  (2014)    Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?;7.882;8.07;25570;List: 49,95 €   New Amazon: 48,59 €      [Shop]
30;;Mage Knight Board Game  (2011)    Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.;7.873;8.09;29964;Used Amazon: (unavailable)   [Shop]
31;;Eclipse: Second Dawn for the Galaxy  (2020)    Build an interstellar civilization by exploration, research, conquest, and diplomacy.;7.872;8.63;6567;New Amazon: 131,86 €      [Shop]
32;;Ark Nova  (2021)    Design a modern zoo to run a successful park and to support conservation projects.;7.871;8.71;5566;List: 64,90 €   New Amazon: 61,99 €      [Shop]
33;;Lost Ruins of Arnak  (2020)    Explore an island to find resources and discover the lost ruins of Arnak.;7.869;8.12;21779;List: 64,95 €   New Amazon: 55,21 €   [Shop]
34;;Food Chain Magnate  (2015)    Strategically hire and manage your workforce to outcompete rival fast food chains.;7.833;8.11;16124;New Amazon: 129,99 €   [Shop]
35;;Puerto Rico  (2002)    Ship goods, construct buildings, and choose roles that benefit you more than others.;7.828;7.96;66290;List: 53,99 €   New Amazon: 35,90 €   [Shop]
36;;Caverna: The Cave Farmers  (2013)    From a simple cave, expand your dwarven home through mining, agriculture, and more.;7.818;8.00;30435;New Amazon: 89,13 €   [Shop]
37;;Marvel Champions: The Card Game  (2019)    Battle Marvel villains with unique teams of iconic heroes in this LCG.;7.814;8.20;15665;New Amazon: 64,76 €   [Shop]
38;;Blood Rage  (2015)    Ragnarök has come! Secure your place in Valhalla in epic Viking battles.;7.810;7.98;39058;New Amazon: 67,92 €      [Shop]
39;;Too Many Bones  (2017)    Toss gobs of unique dice in an epic adventure en route to a final boss showdown.;7.806;8.42;8407;[Shop]
40;;Barrage  (2019)    Nations vie for hydroelectric dominance in a dystopia where water is power.;7.802;8.23;10477;List: 74,90 €   New Amazon: 57,99 €      [Shop]
